Location,Sex or gender,Age at divorce,Indicator,Unit Of Measure,VALUE
Ontario,Females,35 to 39 years,Number of divorces,Number,1755.0
Ontario,Females,40 to 44 years,Number of divorces,Number,1503.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1314.0
Ontario,Females,50 to 54 years,Number of divorces,Number,771.0
Ontario,Females,55 to 59 years,Number of divorces,Number,426.0
Ontario,Females,60 to 64 years,Number of divorces,Number,186.0
Ontario,Females,65 years and over,Number of divorces,Number,120.0
Ontario,Both sexes,All ages,Number of divorces,Number,27714.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,75.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2559.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,6507.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,5073.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,3705.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3249.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,2652.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,1869.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1116.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,531.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,378.0
Ontario,Males,All ages,Number of divorces,Number,13857.0
Ontario,Males,Under 20 years,Number of divorces,Number,6.0
Ontario,Males,20 to 24 years,Number of divorces,Number,777.0
Ontario,Males,25 to 29 years,Number of divorces,Number,2973.0
Ontario,Males,30 to 34 years,Number of divorces,Number,2685.0
Ontario,Males,35 to 39 years,Number of divorces,Number,1998.0
Ontario,Males,40 to 44 years,Number of divorces,Number,1740.0
Ontario,Males,45 to 49 years,Number of divorces,Number,1404.0
Ontario,Males,50 to 54 years,Number of divorces,Number,1002.0
Ontario,Males,55 to 59 years,Number of divorces,Number,681.0
Ontario,Males,60 to 64 years,Number of divorces,Number,342.0
Ontario,Males,65 years and over,Number of divorces,Number,249.0
Ontario,Females,All ages,Number of divorces,Number,13857.0
Ontario,Females,Under 20 years,Number of divorces,Number,69.0
Ontario,Females,20 to 24 years,Number of divorces,Number,1782.0
Ontario,Females,25 to 29 years,Number of divorces,Number,3534.0
Ontario,Females,30 to 34 years,Number of divorces,Number,2388.0
Ontario,Females,35 to 39 years,Number of divorces,Number,1707.0
Ontario,Females,40 to 44 years,Number of divorces,Number,1509.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1248.0
Ontario,Females,50 to 54 years,Number of divorces,Number,867.0
Ontario,Females,55 to 59 years,Number of divorces,Number,435.0
Ontario,Females,60 to 64 years,Number of divorces,Number,189.0
Ontario,Females,65 years and over,Number of divorces,Number,129.0
Ontario,Both sexes,All ages,Number of divorces,Number,30768.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,78.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2940.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,7377.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,5673.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,4248.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3534.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,2904.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2016.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,957.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,582.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,459.0
Ontario,Males,All ages,Number of divorces,Number,15384.0
Ontario,Males,Under 20 years,Number of divorces,Number,0.0
Ontario,Males,20 to 24 years,Number of divorces,Number,882.0
Ontario,Males,25 to 29 years,Number of divorces,Number,3459.0
Ontario,Males,30 to 34 years,Number of divorces,Number,3003.0
Ontario,Males,35 to 39 years,Number of divorces,Number,2259.0
Ontario,Males,40 to 44 years,Number of divorces,Number,1869.0
Ontario,Males,45 to 49 years,Number of divorces,Number,1545.0
Ontario,Males,50 to 54 years,Number of divorces,Number,1122.0
Ontario,Males,55 to 59 years,Number of divorces,Number,582.0
Ontario,Males,60 to 64 years,Number of divorces,Number,360.0
Ontario,Males,65 years and over,Number of divorces,Number,303.0
Ontario,Females,All ages,Number of divorces,Number,15384.0
Ontario,Females,Under 20 years,Number of divorces,Number,78.0
Ontario,Females,20 to 24 years,Number of divorces,Number,2058.0
Ontario,Females,25 to 29 years,Number of divorces,Number,3918.0
Ontario,Females,30 to 34 years,Number of divorces,Number,2670.0
Ontario,Females,35 to 39 years,Number of divorces,Number,1989.0
Ontario,Females,40 to 44 years,Number of divorces,Number,1665.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1359.0
Ontario,Females,50 to 54 years,Number of divorces,Number,894.0
Ontario,Females,55 to 59 years,Number of divorces,Number,375.0
Ontario,Females,60 to 64 years,Number of divorces,Number,222.0
Ontario,Females,65 years and over,Number of divorces,Number,156.0
Ontario,Both sexes,All ages,Number of divorces,Number,35148.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,108.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3282.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,8796.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,6882.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,4887.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3783.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3090.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2106.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1149.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,630.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,432.0
Ontario,Males,All ages,Number of divorces,Number,17574.0
Ontario,Males,Under 20 years,Number of divorces,Number,21.0
Ontario,Males,20 to 24 years,Number of divorces,Number,966.0
Ontario,Males,25 to 29 years,Number of divorces,Number,4065.0
Ontario,Males,30 to 34 years,Number of divorces,Number,3639.0
Ontario,Males,35 to 39 years,Number of divorces,Number,2637.0
Ontario,Males,40 to 44 years,Number of divorces,Number,2052.0
Ontario,Males,45 to 49 years,Number of divorces,Number,1680.0
Ontario,Males,50 to 54 years,Number of divorces,Number,1152.0
Ontario,Males,55 to 59 years,Number of divorces,Number,666.0
Ontario,Males,60 to 64 years,Number of divorces,Number,411.0
Ontario,Males,65 years and over,Number of divorces,Number,285.0
Ontario,Females,All ages,Number of divorces,Number,17574.0
Ontario,Females,Under 20 years,Number of divorces,Number,87.0
Ontario,Females,20 to 24 years,Number of divorces,Number,2316.0
Ontario,Females,25 to 29 years,Number of divorces,Number,4731.0
Ontario,Females,30 to 34 years,Number of divorces,Number,3243.0
Ontario,Females,35 to 39 years,Number of divorces,Number,2250.0
Ontario,Females,40 to 44 years,Number of divorces,Number,1734.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1410.0
Ontario,Females,50 to 54 years,Number of divorces,Number,954.0
