Location,Sex or gender,Age at divorce,Indicator,Unit Of Measure,VALUE
Ontario,Males,40 to 44 years,Number of divorces,Number,4878.0
Ontario,Males,45 to 49 years,Number of divorces,Number,3237.0
Ontario,Males,50 to 54 years,Number of divorces,Number,1866.0
Ontario,Males,55 to 59 years,Number of divorces,Number,1125.0
Ontario,Males,60 to 64 years,Number of divorces,Number,609.0
Ontario,Males,65 years and over,Number of divorces,Number,537.0
Ontario,Females,All ages,Number of divorces,Number,29706.0
Ontario,Females,Under 20 years,Number of divorces,Number,54.0
Ontario,Females,20 to 24 years,Number of divorces,Number,2001.0
Ontario,Females,25 to 29 years,Number of divorces,Number,6222.0
Ontario,Females,30 to 34 years,Number of divorces,Number,6531.0
Ontario,Females,35 to 39 years,Number of divorces,Number,5478.0
Ontario,Females,40 to 44 years,Number of divorces,Number,4233.0
Ontario,Females,45 to 49 years,Number of divorces,Number,2490.0
Ontario,Females,50 to 54 years,Number of divorces,Number,1266.0
Ontario,Females,55 to 59 years,Number of divorces,Number,711.0
Ontario,Females,60 to 64 years,Number of divorces,Number,381.0
Ontario,Females,65 years and over,Number of divorces,Number,339.0
Ontario,Both sexes,All ages,Number of divorces,Number,56460.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",11.6
Ontario,Both sexes,Under 20 years,Number of divorces,Number,51.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",10.3
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2562.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",21.4
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,10122.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",21.4
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,12627.0
Ontario,Both sexes,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",19.4
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,10677.0
Ontario,Both sexes,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",16.4
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,8448.0
Ontario,Both sexes,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.4
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,5325.0
Ontario,Both sexes,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",10.7
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,3132.0
Ontario,Both sexes,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",7.6
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1743.0
Ontario,Both sexes,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",4.6
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,948.0
Ontario,Both sexes,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.7
Ontario,Both sexes,65 years and over,Number of divorces,Number,825.0
Ontario,Both sexes,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.2
Ontario,Males,All ages,Number of divorces,Number,28230.0
Ontario,Males,All ages,Divorce rate,"Rate per 1,000 married persons",11.6
Ontario,Males,Under 20 years,Number of divorces,Number,6.0
Ontario,Males,Under 20 years,Divorce rate,"Rate per 1,000 married persons",7.2
Ontario,Males,20 to 24 years,Number of divorces,Number,732.0
Ontario,Males,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",19.6
Ontario,Males,25 to 29 years,Number of divorces,Number,4242.0
Ontario,Males,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",21.0
Ontario,Males,30 to 34 years,Number of divorces,Number,6216.0
Ontario,Males,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",20.2
Ontario,Males,35 to 39 years,Number of divorces,Number,5517.0
Ontario,Males,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",17.3
Ontario,Males,40 to 44 years,Number of divorces,Number,4527.0
Ontario,Males,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",14.3
Ontario,Males,45 to 49 years,Number of divorces,Number,2970.0
Ontario,Males,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.6
Ontario,Males,50 to 54 years,Number of divorces,Number,1821.0
Ontario,Males,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",8.5
Ontario,Males,55 to 59 years,Number of divorces,Number,1077.0
Ontario,Males,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",5.4
Ontario,Males,60 to 64 years,Number of divorces,Number,603.0
Ontario,Males,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.2
Ontario,Males,65 years and over,Number of divorces,Number,519.0
Ontario,Males,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.3
Ontario,Females,All ages,Number of divorces,Number,28230.0
Ontario,Females,All ages,Divorce rate,"Rate per 1,000 married persons",11.6
Ontario,Females,Under 20 years,Number of divorces,Number,45.0
Ontario,Females,Under 20 years,Divorce rate,"Rate per 1,000 married persons",10.9
Ontario,Females,20 to 24 years,Number of divorces,Number,1830.0
Ontario,Females,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.3
Ontario,Females,25 to 29 years,Number of divorces,Number,5880.0
Ontario,Females,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",21.8
Ontario,Females,30 to 34 years,Number of divorces,Number,6411.0
Ontario,Females,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",18.7
Ontario,Females,35 to 39 years,Number of divorces,Number,5160.0
Ontario,Females,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",15.5
Ontario,Females,40 to 44 years,Number of divorces,Number,3921.0
Ontario,Females,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",12.5
Ontario,Females,45 to 49 years,Number of divorces,Number,2355.0
Ontario,Females,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",9.7
Ontario,Females,50 to 54 years,Number of divorces,Number,1311.0
Ontario,Females,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",6.6
Ontario,Females,55 to 59 years,Number of divorces,Number,666.0
Ontario,Females,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",3.7
Ontario,Females,60 to 64 years,Number of divorces,Number,345.0
Ontario,Females,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.1
Ontario,Females,65 years and over,Number of divorces,Number,306.0
Ontario,Females,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.0
Ontario,Both sexes,All ages,Number of divorces,Number,61830.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",12.6
Ontario,Both sexes,Under 20 years,Number of divorces,Number,45.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",9.9
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2661.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",24.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,10368.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",23.2
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,13656.0
Ontario,Both sexes,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",21.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,11691.0
Ontario,Both sexes,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",17.7
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,9372.0
Ontario,Both sexes,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",15.1
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,6486.0
Ontario,Both sexes,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",12.2
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,3657.0
Ontario,Both sexes,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",8.6
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1866.0
Ontario,Both sexes,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",5.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,1074.0
Ontario,Both sexes,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,954.0
Ontario,Both sexes,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.3
Ontario,Males,All ages,Number of divorces,Number,30915.0
Ontario,Males,All ages,Divorce rate,"Rate per 1,000 married persons",12.7
Ontario,Males,Under 20 years,Number of divorces,Number,6.0
Ontario,Males,Under 20 years,Divorce rate,"Rate per 1,000 married persons",8.0
Ontario,Males,20 to 24 years,Number of divorces,Number,768.0
Ontario,Males,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.4
Ontario,Males,25 to 29 years,Number of divorces,Number,4296.0
Ontario,Males,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",22.7
Ontario,Males,30 to 34 years,Number of divorces,Number,6678.0
Ontario,Males,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",21.8
Ontario,Males,35 to 39 years,Number of divorces,Number,6000.0
Ontario,Males,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",18.7
Ontario,Males,40 to 44 years,Number of divorces,Number,5001.0
Ontario,Males,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",16.1
Ontario,Males,45 to 49 years,Number of divorces,Number,3543.0
Ontario,Males,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",13.0
Ontario,Males,50 to 54 years,Number of divorces,Number,2193.0
Ontario,Males,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",10.0
Ontario,Males,55 to 59 years,Number of divorces,Number,1134.0
Ontario,Males,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",5.7
Ontario,Males,60 to 64 years,Number of divorces,Number,693.0
Ontario,Males,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.7
Ontario,Males,65 years and over,Number of divorces,Number,603.0
Ontario,Males,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.5
Ontario,Females,All ages,Number of divorces,Number,30915.0
Ontario,Females,All ages,Divorce rate,"Rate per 1,000 married persons",12.6
Ontario,Females,Under 20 years,Number of divorces,Number,39.0
Ontario,Females,Under 20 years,Divorce rate,"Rate per 1,000 married persons",10.3
Ontario,Females,20 to 24 years,Number of divorces,Number,1893.0
Ontario,Females,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",24.7
Ontario,Females,25 to 29 years,Number of divorces,Number,6072.0
Ontario,Females,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",23.6
Ontario,Females,30 to 34 years,Number of divorces,Number,6978.0
Ontario,Females,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",20.3
Ontario,Females,35 to 39 years,Number of divorces,Number,5691.0
Ontario,Females,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",16.8
Ontario,Females,40 to 44 years,Number of divorces,Number,4371.0
Ontario,Females,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",14.0
Ontario,Females,45 to 49 years,Number of divorces,Number,2943.0
Ontario,Females,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.3
Ontario,Females,50 to 54 years,Number of divorces,Number,1464.0
Ontario,Females,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",7.2
Ontario,Females,55 to 59 years,Number of divorces,Number,732.0
Ontario,Females,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",4.1
Ontario,Females,60 to 64 years,Number of divorces,Number,381.0
Ontario,Females,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.3
Ontario,Females,65 years and over,Number of divorces,Number,351.0
Ontario,Females,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.1
Ontario,Both sexes,All ages,Number of divorces,Number,59127.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",12.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,42.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",10.1
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2433.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",23.8
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,9579.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",23.1
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,13128.0
Ontario,Both sexes,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",20.2
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,11805.0
Ontario,Both sexes,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",17.6
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,8844.0
Ontario,Both sexes,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",14.2
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,6084.0
Ontario,Both sexes,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",10.9
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,3552.0
Ontario,Both sexes,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",8.1
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1788.0
Ontario,Both sexes,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",4.7
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,972.0
Ontario,Both sexes,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.7
Ontario,Both sexes,65 years and over,Number of divorces,Number,900.0
Ontario,Both sexes,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.2
Ontario,Males,All ages,Number of divorces,Number,29562.0
Ontario,Males,All ages,Divorce rate,"Rate per 1,000 married persons",12.0
Ontario,Males,Under 20 years,Number of divorces,Number,6.0
Ontario,Males,Under 20 years,Divorce rate,"Rate per 1,000 married persons",8.9
Ontario,Males,20 to 24 years,Number of divorces,Number,696.0
Ontario,Males,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.2
Ontario,Males,25 to 29 years,Number of divorces,Number,4008.0
Ontario,Males,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",23.0
Ontario,Males,30 to 34 years,Number of divorces,Number,6312.0
Ontario,Males,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",20.7
Ontario,Males,35 to 39 years,Number of divorces,Number,6096.0
Ontario,Males,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",18.8
Ontario,Males,40 to 44 years,Number of divorces,Number,4716.0
Ontario,Males,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",15.3
Ontario,Males,45 to 49 years,Number of divorces,Number,3345.0
Ontario,Males,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.8
Ontario,Males,50 to 54 years,Number of divorces,Number,2076.0
Ontario,Males,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",9.2
Ontario,Males,55 to 59 years,Number of divorces,Number,1095.0
Ontario,Males,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",5.5
Ontario,Males,60 to 64 years,Number of divorces,Number,633.0
Ontario,Males,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.3
Ontario,Males,65 years and over,Number of divorces,Number,579.0
Ontario,Males,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.4
Ontario,Females,All ages,Number of divorces,Number,29565.0
Ontario,Females,All ages,Divorce rate,"Rate per 1,000 married persons",12.0
Ontario,Females,Under 20 years,Number of divorces,Number,36.0
Ontario,Females,Under 20 years,Divorce rate,"Rate per 1,000 married persons",10.3
Ontario,Females,20 to 24 years,Number of divorces,Number,1737.0
Ontario,Females,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",24.5
Ontario,Females,25 to 29 years,Number of divorces,Number,5571.0
Ontario,Females,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",23.1
Ontario,Females,30 to 34 years,Number of divorces,Number,6816.0
Ontario,Females,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",19.8
Ontario,Females,35 to 39 years,Number of divorces,Number,5709.0
Ontario,Females,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",16.5
Ontario,Females,40 to 44 years,Number of divorces,Number,4128.0
Ontario,Females,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.2
Ontario,Females,45 to 49 years,Number of divorces,Number,2739.0
Ontario,Females,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",10.0
Ontario,Females,50 to 54 years,Number of divorces,Number,1476.0
Ontario,Females,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",7.0
Ontario,Females,55 to 59 years,Number of divorces,Number,693.0
Ontario,Females,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",3.9
Ontario,Females,60 to 64 years,Number of divorces,Number,339.0
Ontario,Females,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.1
Ontario,Females,65 years and over,Number of divorces,Number,321.0
Ontario,Females,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.0
Ontario,Both sexes,All ages,Number of divorces,Number,62604.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",12.6
Ontario,Both sexes,Under 20 years,Number of divorces,Number,51.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",13.2
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2253.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",24.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,9390.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",24.4
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,14121.0
Ontario,Both sexes,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",21.7
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,12315.0
Ontario,Both sexes,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",18.2
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,9552.0
Ontario,Both sexes,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",15.2
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,6927.0
Ontario,Both sexes,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",12.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,3888.0
Ontario,Both sexes,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",8.6
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,2007.0
Ontario,Both sexes,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",5.2
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,1119.0
Ontario,Both sexes,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.1
Ontario,Both sexes,65 years and over,Number of divorces,Number,981.0
Ontario,Both sexes,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.3
Ontario,Males,All ages,Number of divorces,Number,31302.0
Ontario,Males,All ages,Divorce rate,"Rate per 1,000 married persons",12.7
Ontario,Males,Under 20 years,Number of divorces,Number,3.0
Ontario,Males,Under 20 years,Divorce rate,"Rate per 1,000 married persons",4.8
Ontario,Males,20 to 24 years,Number of divorces,Number,621.0
Ontario,Males,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",21.8
Ontario,Males,25 to 29 years,Number of divorces,Number,3825.0
Ontario,Males,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",24.0
Ontario,Males,30 to 34 years,Number of divorces,Number,6801.0
Ontario,Males,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",22.4
Ontario,Males,35 to 39 years,Number of divorces,Number,6318.0
Ontario,Males,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",19.3
Ontario,Males,40 to 44 years,Number of divorces,Number,5043.0
Ontario,Males,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",16.3
Ontario,Males,45 to 49 years,Number of divorces,Number,3789.0
Ontario,Males,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",13.0
Ontario,Males,50 to 54 years,Number of divorces,Number,2310.0
Ontario,Males,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",9.9
Ontario,Males,55 to 59 years,Number of divorces,Number,1242.0
Ontario,Males,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",6.2
Ontario,Males,60 to 64 years,Number of divorces,Number,687.0
Ontario,Males,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.6
Ontario,Males,65 years and over,Number of divorces,Number,663.0
Ontario,Males,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.6
Ontario,Females,All ages,Number of divorces,Number,31302.0
Ontario,Females,All ages,Divorce rate,"Rate per 1,000 married persons",12.6
Ontario,Females,Under 20 years,Number of divorces,Number,48.0
Ontario,Females,Under 20 years,Divorce rate,"Rate per 1,000 married persons",14.8
Ontario,Females,20 to 24 years,Number of divorces,Number,1632.0
Ontario,Females,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",25.0
Ontario,Females,25 to 29 years,Number of divorces,Number,5565.0
Ontario,Females,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",24.7
Ontario,Females,30 to 34 years,Number of divorces,Number,7320.0
Ontario,Females,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",21.2
Ontario,Females,35 to 39 years,Number of divorces,Number,5997.0
Ontario,Females,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",17.2
Ontario,Females,40 to 44 years,Number of divorces,Number,4509.0
Ontario,Females,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",14.1
Ontario,Females,45 to 49 years,Number of divorces,Number,3138.0
Ontario,Females,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.0
Ontario,Females,50 to 54 years,Number of divorces,Number,1578.0
Ontario,Females,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",7.2
Ontario,Females,55 to 59 years,Number of divorces,Number,765.0
Ontario,Females,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",4.2
Ontario,Females,60 to 64 years,Number of divorces,Number,432.0
Ontario,Females,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.6
Ontario,Females,65 years and over,Number of divorces,Number,318.0
Ontario,Females,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.0
Ontario,Both sexes,All ages,Number of divorces,Number,59862.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",12.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,45.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",12.8
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,1929.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.8
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,8247.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",23.2
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,13062.0
Ontario,Both sexes,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",20.4
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,12036.0
Ontario,Both sexes,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",17.6
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,9441.0
Ontario,Both sexes,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",14.7
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,7158.0
Ontario,Both sexes,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",12.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,3837.0
Ontario,Both sexes,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",8.3
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,2049.0
Ontario,Both sexes,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",5.3
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,1089.0
Ontario,Both sexes,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.1
Ontario,Both sexes,65 years and over,Number of divorces,Number,969.0
Ontario,Both sexes,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.3
Ontario,Males,All ages,Number of divorces,Number,29931.0
Ontario,Males,All ages,Divorce rate,"Rate per 1,000 married persons",12.1
Ontario,Males,Under 20 years,Number of divorces,Number,9.0
Ontario,Males,Under 20 years,Divorce rate,"Rate per 1,000 married persons",16.2
Ontario,Males,20 to 24 years,Number of divorces,Number,546.0
Ontario,Males,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",21.6
Ontario,Males,25 to 29 years,Number of divorces,Number,3327.0
Ontario,Males,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",22.9
Ontario,Males,30 to 34 years,Number of divorces,Number,6237.0
Ontario,Males,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",20.9
Ontario,Males,35 to 39 years,Number of divorces,Number,6087.0
Ontario,Males,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",18.4
Ontario,Males,40 to 44 years,Number of divorces,Number,5001.0
Ontario,Males,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",15.9
Ontario,Males,45 to 49 years,Number of divorces,Number,3906.0
Ontario,Males,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",12.9
Ontario,Males,50 to 54 years,Number of divorces,Number,2217.0
Ontario,Males,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",9.3
Ontario,Males,55 to 59 years,Number of divorces,Number,1266.0
Ontario,Males,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",6.2
Ontario,Males,60 to 64 years,Number of divorces,Number,696.0
Ontario,Males,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.7
Ontario,Males,65 years and over,Number of divorces,Number,639.0
Ontario,Males,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.5
Ontario,Females,All ages,Number of divorces,Number,29931.0
Ontario,Females,All ages,Divorce rate,"Rate per 1,000 married persons",12.0
Ontario,Females,Under 20 years,Number of divorces,Number,36.0
Ontario,Females,Under 20 years,Divorce rate,"Rate per 1,000 married persons",12.2
Ontario,Females,20 to 24 years,Number of divorces,Number,1383.0
Ontario,Females,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",23.3
Ontario,Females,25 to 29 years,Number of divorces,Number,4920.0
Ontario,Females,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",23.4
Ontario,Females,30 to 34 years,Number of divorces,Number,6825.0
Ontario,Females,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",19.9
Ontario,Females,35 to 39 years,Number of divorces,Number,5949.0
Ontario,Females,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",16.8
Ontario,Females,40 to 44 years,Number of divorces,Number,4440.0
Ontario,Females,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.6
Ontario,Females,45 to 49 years,Number of divorces,Number,3252.0
Ontario,Females,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.0
Ontario,Females,50 to 54 years,Number of divorces,Number,1620.0
Ontario,Females,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",7.2
Ontario,Females,55 to 59 years,Number of divorces,Number,783.0
Ontario,Females,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",4.2
Ontario,Females,60 to 64 years,Number of divorces,Number,393.0
Ontario,Females,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.4
Ontario,Females,65 years and over,Number of divorces,Number,330.0
Ontario,Females,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.0
Ontario,Both sexes,All ages,Number of divorces,Number,51198.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",10.2
Ontario,Both sexes,Under 20 years,Number of divorces,Number,30.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",9.4
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,1374.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",18.3
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,6153.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",18.3
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,10524.0
